i,seed,status,score,elapsed_sec,moves,pellets_total,pellets_eaten,completion_pct,ts
0,12345,LOSS,4000,9.218788,1638,102,85,83.33,1755947064
1,12346,LOSS,3920,9.226431,1641,102,77,75.49,1755947074
2,12347,LOSS,4240,12.800946,2286,102,99,97.06,1755947087
3,12348,LOSS,150,1.304904,236,102,15,14.71,1755947089
4,12349,WIN,2670,12.282588,2175,102,102,100.0,1755947101
0,12345,LOSS,4000,9.160961,1652,102,85,83.33,1755947121
1,12346,WIN,4270,16.690143,2985,102,102,100.0,1755947138
2,12347,LOSS,4240,12.596163,2277,102,99,97.06,1755947151
3,12348,LOSS,150,1.330801,237,102,15,14.71,1755947153
4,12349,WIN,2670,12.073127,2175,102,102,100.0,1755947166
0,12345,LOSS,510,9.477047,1706,102,46,45.1,1755947185
1,12346,LOSS,3900,9.637865,1716,102,75,73.53,1755947195
2,12347,DNF,970,12.922103,2292,102,77,75.49,1755947209
3,12348,DNF,150,1.354775,235,102,15,14.71,1755947211
4,12349,DNF,20,0.339237,40,102,2,1.96,1755947211
0,,LOSS,4050,10.013634,1809,102,85,83.33,1755947343
1,,LOSS,550,3.034853,546,102,30,29.41,1755947346
2,,LOSS,4230,15.933095,2877,102,98,96.08,1755947363
3,,LOSS,150,1.320992,237,102,15,14.71,1755947365
4,,WIN,1270,12.679512,2235,102,102,100.0,1755947378
0,,LOSS,4000,9.109624,1638,102,85,83.33,1755947452
1,,LOSS,60,0.578615,102,102,6,5.88,1755947453
2,,LOSS,110,1.166945,207,102,11,10.78,1755947454
3,,LOSS,150,1.328922,236,102,15,14.71,1755947456
4,,WIN,2670,12.160575,2175,102,102,100.0,1755947469
0,,LOSS,4000,9.045961,1638,102,85,83.33,1755947485
1,,LOSS,60,0.577504,102,102,6,5.88,1755947486
2,,LOSS,4240,12.809109,2286,102,99,97.06,1755947500
3,,LOSS,150,1.33684,237,102,15,14.71,1755947501
4,,WIN,1870,12.142549,2175,102,102,100.0,1755947514
0,,WIN,7470,16.770464,3002,102,102,100.0,1755947594
1,,WIN,4270,16.7669,3015,102,102,100.0,1755947611
2,,WIN,4270,13.675294,2460,102,102,100.0,1755947625
3,,LOSS,150,1.328256,237,102,15,14.71,1755947627
4,,WIN,1870,12.301094,2175,102,102,100.0,1755947640
0,,LOSS,4000,9.060538,1638,102,85,83.33,1755947706
1,,LOSS,3930,10.096305,1821,102,78,76.47,1755947716
2,,WIN,4270,13.657693,2460,102,102,100.0,1755947731
3,,LOSS,140,1.223415,221,102,14,13.73,1755947732
4,,WIN,1870,12.251942,2175,102,102,100.0,1755947745
5,,WIN,1870,12.992901,2295,102,102,100.0,1755947759
6,,WIN,1470,16.023324,2865,102,102,100.0,1755947775
7,,WIN,4270,12.370396,2220,102,102,100.0,1755947788
8,,WIN,1270,13.364085,2415,102,102,100.0,1755947802
9,,WIN,2670,12.986762,2295,102,102,100.0,1755947815
0,1226995546,LOSS,130,1.13697,206,102,13,12.75,1755947908
1,1424273067,LOSS,130,1.165047,206,102,13,12.75,1755947910
2,971433135,LOSS,4000,9.175981,1638,102,85,83.33,1755947919
